Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;72
Nome da estação:;Parque D.Pedro II

Data;Hora;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3
01/10/2018;01:00;11
01/10/2018;02:00;21
01/10/2018;03:00;27
01/10/2018;04:00;11
01/10/2018;05:00;13
01/10/2018;06:00;25
01/10/2018;07:00;22
01/10/2018;08:00;12
01/10/2018;09:00;15
01/10/2018;10:00;4
01/10/2018;11:00;0
01/10/2018;12:00;0
01/10/2018;13:00;0
01/10/2018;14:00;5
01/10/2018;15:00;6
01/10/2018;16:00;16
01/10/2018;17:00;9
01/10/2018;18:00;2
01/10/2018;19:00;20
01/10/2018;20:00;18
01/10/2018;21:00;26
01/10/2018;22:00;24
01/10/2018;23:00;39
01/10/2018;24:00;42
02/10/2018;01:00;25
02/10/2018;02:00;39
02/10/2018;03:00;47
02/10/2018;04:00;34
02/10/2018;05:00;25
02/10/2018;06:00;20
02/10/2018;07:00;30
02/10/2018;08:00;26
02/10/2018;09:00;32
02/10/2018;10:00;31
02/10/2018;11:00;37
02/10/2018;12:00;26
02/10/2018;13:00;7
02/10/2018;14:00;11
02/10/2018;15:00;8
02/10/2018;16:00;17
02/10/2018;17:00;35
02/10/2018;18:00;38
02/10/2018;19:00;38
02/10/2018;20:00;30
02/10/2018;21:00;23
02/10/2018;22:00;28
02/10/2018;23:00;30
02/10/2018;24:00;23
03/10/2018;01:00;24
03/10/2018;02:00;28
03/10/2018;03:00;37
03/10/2018;04:00;35
03/10/2018;05:00;32
03/10/2018;06:00;48
03/10/2018;07:00;42
03/10/2018;08:00;32
03/10/2018;09:00;35
03/10/2018;10:00;28
03/10/2018;11:00;19
03/10/2018;12:00;19
03/10/2018;13:00;18
03/10/2018;14:00;22
03/10/2018;15:00;19
03/10/2018;16:00;21
03/10/2018;17:00;26
03/10/2018;18:00;
03/10/2018;19:00;
03/10/2018;20:00;
03/10/2018;21:00;
03/10/2018;22:00;
03/10/2018;23:00;
03/10/2018;24:00;
04/10/2018;01:00;7
04/10/2018;02:00;8
04/10/2018;03:00;8
04/10/2018;04:00;22
04/10/2018;05:00;28
04/10/2018;06:00;34
04/10/2018;07:00;21
04/10/2018;08:00;16
04/10/2018;09:00;3
04/10/2018;10:00;7
04/10/2018;11:00;3
04/10/2018;12:00;0
04/10/2018;13:00;8
04/10/2018;14:00;4
04/10/2018;15:00;6
04/10/2018;16:00;6
04/10/2018;17:00;1
04/10/2018;18:00;5
04/10/2018;19:00;4
04/10/2018;20:00;2
04/10/2018;21:00;5
04/10/2018;22:00;1
04/10/2018;23:00;4
04/10/2018;24:00;3
05/10/2018;01:00;1
05/10/2018;02:00;8
05/10/2018;03:00;2
05/10/2018;04:00;3
05/10/2018;05:00;4
05/10/2018;06:00;6
05/10/2018;07:00;8
05/10/2018;08:00;7
05/10/2018;09:00;6
05/10/2018;10:00;8
05/10/2018;11:00;7
05/10/2018;12:00;4
05/10/2018;13:00;9
05/10/2018;14:00;2
05/10/2018;15:00;11
05/10/2018;16:00;14
05/10/2018;17:00;7
05/10/2018;18:00;10
05/10/2018;19:00;3
05/10/2018;20:00;4
05/10/2018;21:00;8
05/10/2018;22:00;5
05/10/2018;23:00;5
05/10/2018;24:00;9
06/10/2018;01:00;15
06/10/2018;02:00;8
06/10/2018;03:00;6
06/10/2018;04:00;5
06/10/2018;05:00;4
06/10/2018;06:00;7
06/10/2018;07:00;8
06/10/2018;08:00;6
06/10/2018;09:00;6
06/10/2018;10:00;11
06/10/2018;11:00;12
06/10/2018;12:00;9
06/10/2018;13:00;16
06/10/2018;14:00;6
06/10/2018;15:00;12
06/10/2018;16:00;8
06/10/2018;17:00;10
06/10/2018;18:00;3
06/10/2018;19:00;9
06/10/2018;20:00;5
06/10/2018;21:00;4
06/10/2018;22:00;7
06/10/2018;23:00;8
06/10/2018;24:00;9
07/10/2018;01:00;13
07/10/2018;02:00;16
07/10/2018;03:00;12
07/10/2018;04:00;13
07/10/2018;05:00;8
07/10/2018;06:00;12
07/10/2018;07:00;11
07/10/2018;08:00;14
07/10/2018;09:00;7
07/10/2018;10:00;15
07/10/2018;11:00;8
07/10/2018;12:00;14
07/10/2018;13:00;20
07/10/2018;14:00;24
07/10/2018;15:00;22
07/10/2018;16:00;19
07/10/2018;17:00;35
07/10/2018;18:00;21
07/10/2018;19:00;7
07/10/2018;20:00;5
07/10/2018;21:00;3
07/10/2018;22:00;7
07/10/2018;23:00;4
07/10/2018;24:00;7
08/10/2018;01:00;9
08/10/2018;02:00;11
08/10/2018;03:00;12
08/10/2018;04:00;9
08/10/2018;05:00;13
08/10/2018;06:00;13
08/10/2018;07:00;17
08/10/2018;08:00;24
08/10/2018;09:00;26
08/10/2018;10:00;21
08/10/2018;11:00;22
08/10/2018;12:00;29
08/10/2018;13:00;27
08/10/2018;14:00;17
08/10/2018;15:00;2
08/10/2018;16:00;8
08/10/2018;17:00;15
08/10/2018;18:00;13
08/10/2018;19:00;13
08/10/2018;20:00;13
08/10/2018;21:00;6
08/10/2018;22:00;8
08/10/2018;23:00;8
08/10/2018;24:00;8
09/10/2018;01:00;19
09/10/2018;02:00;22
09/10/2018;03:00;20
09/10/2018;04:00;19
09/10/2018;05:00;12
09/10/2018;06:00;15
09/10/2018;07:00;6
09/10/2018;08:00;10
09/10/2018;09:00;11
09/10/2018;10:00;9
09/10/2018;11:00;21
09/10/2018;12:00;9
09/10/2018;13:00;13
09/10/2018;14:00;8
09/10/2018;15:00;15
09/10/2018;16:00;16
09/10/2018;17:00;8
09/10/2018;18:00;12
09/10/2018;19:00;10
09/10/2018;20:00;11
09/10/2018;21:00;15
09/10/2018;22:00;15
09/10/2018;23:00;24
09/10/2018;24:00;21
10/10/2018;01:00;35
10/10/2018;02:00;43
10/10/2018;03:00;56
10/10/2018;04:00;37
10/10/2018;05:00;42
10/10/2018;06:00;13
10/10/2018;07:00;4
10/10/2018;08:00;2
10/10/2018;09:00;7
10/10/2018;10:00;8
10/10/2018;11:00;4
10/10/2018;12:00;7
10/10/2018;13:00;10
10/10/2018;14:00;10
10/10/2018;15:00;8
10/10/2018;16:00;
10/10/2018;17:00;26
10/10/2018;18:00;19
10/10/2018;19:00;3
10/10/2018;20:00;4
10/10/2018;21:00;2
10/10/2018;22:00;4
10/10/2018;23:00;3
10/10/2018;24:00;6
11/10/2018;01:00;1
11/10/2018;02:00;6
11/10/2018;03:00;3
11/10/2018;04:00;1
11/10/2018;05:00;7
11/10/2018;06:00;4
11/10/2018;07:00;9
11/10/2018;08:00;6
11/10/2018;09:00;6
11/10/2018;10:00;11
11/10/2018;11:00;7
11/10/2018;12:00;10
11/10/2018;13:00;6
11/10/2018;14:00;5
11/10/2018;15:00;3
11/10/2018;16:00;6
11/10/2018;17:00;6
11/10/2018;18:00;7
11/10/2018;19:00;3
11/10/2018;20:00;6
11/10/2018;21:00;5
11/10/2018;22:00;8
11/10/2018;23:00;7
11/10/2018;24:00;6
12/10/2018;01:00;4
12/10/2018;02:00;8
12/10/2018;03:00;8
12/10/2018;04:00;6
12/10/2018;05:00;5
12/10/2018;06:00;10
12/10/2018;07:00;2
12/10/2018;08:00;4
12/10/2018;09:00;1
12/10/2018;10:00;4
12/10/2018;11:00;6
12/10/2018;12:00;5
12/10/2018;13:00;11
12/10/2018;14:00;12
12/10/2018;15:00;10
12/10/2018;16:00;29
12/10/2018;17:00;27
12/10/2018;18:00;19
12/10/2018;19:00;19
12/10/2018;20:00;16
12/10/2018;21:00;19
12/10/2018;22:00;27
12/10/2018;23:00;29
12/10/2018;24:00;40
13/10/2018;01:00;36
13/10/2018;02:00;40
13/10/2018;03:00;42
13/10/2018;04:00;42
13/10/2018;05:00;26
13/10/2018;06:00;29
13/10/2018;07:00;22
13/10/2018;08:00;21
13/10/2018;09:00;24
13/10/2018;10:00;21
13/10/2018;11:00;19
13/10/2018;12:00;22
13/10/2018;13:00;14
13/10/2018;14:00;17
13/10/2018;15:00;23
13/10/2018;16:00;24
13/10/2018;17:00;8
13/10/2018;18:00;11
13/10/2018;19:00;21
13/10/2018;20:00;12
13/10/2018;21:00;2
13/10/2018;22:00;2
13/10/2018;23:00;4
13/10/2018;24:00;12
14/10/2018;01:00;17
14/10/2018;02:00;14
14/10/2018;03:00;5
14/10/2018;04:00;3
14/10/2018;05:00;2
14/10/2018;06:00;3
14/10/2018;07:00;1
14/10/2018;08:00;1
14/10/2018;09:00;6
14/10/2018;10:00;1
14/10/2018;11:00;4
14/10/2018;12:00;1
14/10/2018;13:00;6
14/10/2018;14:00;3
14/10/2018;15:00;3
14/10/2018;16:00;4
14/10/2018;17:00;8
14/10/2018;18:00;21
14/10/2018;19:00;18
14/10/2018;20:00;17
14/10/2018;21:00;10
14/10/2018;22:00;4
14/10/2018;23:00;7
14/10/2018;24:00;4
15/10/2018;01:00;13
15/10/2018;02:00;5
15/10/2018;03:00;4
15/10/2018;04:00;7
15/10/2018;05:00;6
15/10/2018;06:00;10
15/10/2018;07:00;7
15/10/2018;08:00;7
15/10/2018;09:00;9
