Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;72
Nome da estação:;Parque D.Pedro II

Data;Hora;Média Horária;Média Horária
;;TEMP(Temperatura do Ar) - °C;UR(Umidade Relativa do Ar) - %
01/09/2018;01:00;20,2;54
01/09/2018;02:00;19,5;56
01/09/2018;03:00;18,9;58
01/09/2018;04:00;18,2;62
01/09/2018;05:00;18,0;61
01/09/2018;06:00;17,5;64
01/09/2018;07:00;17,3;67
01/09/2018;08:00;19,3;62
01/09/2018;09:00;21,4;56
01/09/2018;10:00;24,7;45
01/09/2018;11:00;27,6;37
01/09/2018;12:00;30,3;28
01/09/2018;13:00;31,4;22
01/09/2018;14:00;32,6;21
01/09/2018;15:00;32,8;20
01/09/2018;16:00;32,0;21
01/09/2018;17:00;27,3;48
01/09/2018;18:00;20,7;73
01/09/2018;19:00;18,7;82
01/09/2018;20:00;18,5;81
01/09/2018;21:00;18,6;80
01/09/2018;22:00;18,4;80
01/09/2018;23:00;17,9;83
01/09/2018;24:00;17,3;85
02/09/2018;01:00;17,1;86
02/09/2018;02:00;17,5;84
02/09/2018;03:00;17,3;84
02/09/2018;04:00;16,9;85
02/09/2018;05:00;17,1;82
02/09/2018;06:00;17,0;81
02/09/2018;07:00;17,0;80
02/09/2018;08:00;18,4;74
02/09/2018;09:00;20,4;65
02/09/2018;10:00;23,8;53
02/09/2018;11:00;27,1;43
02/09/2018;12:00;30,0;34
02/09/2018;13:00;30,8;28
02/09/2018;14:00;31,7;26
02/09/2018;15:00;32,0;25
02/09/2018;16:00;31,4;25
02/09/2018;17:00;28,4;40
02/09/2018;18:00;21,1;72
02/09/2018;19:00;19,1;81
02/09/2018;20:00;18,9;81
02/09/2018;21:00;18,6;83
02/09/2018;22:00;18,4;84
02/09/2018;23:00;18,6;82
02/09/2018;24:00;18,9;81
03/09/2018;01:00;19,0;79
03/09/2018;02:00;18,4;79
03/09/2018;03:00;17,8;81
03/09/2018;04:00;17,6;82
03/09/2018;05:00;17,6;83
03/09/2018;06:00;18,2;80
03/09/2018;07:00;18,4;79
03/09/2018;08:00;19,4;75
03/09/2018;09:00;21,5;66
03/09/2018;10:00;24,2;56
03/09/2018;11:00;26,1;49
03/09/2018;12:00;27,0;45
03/09/2018;13:00;25,6;50
03/09/2018;14:00;22,9;65
03/09/2018;15:00;21,2;76
03/09/2018;16:00;20,2;77
03/09/2018;17:00;20,0;72
03/09/2018;18:00;19,6;70
03/09/2018;19:00;18,3;72
03/09/2018;20:00;17,2;74
03/09/2018;21:00;15,5;76
03/09/2018;22:00;14,8;76
03/09/2018;23:00;14,3;73
03/09/2018;24:00;14,0;70
04/09/2018;01:00;13,6;73
04/09/2018;02:00;13,5;75
04/09/2018;03:00;13,1;76
04/09/2018;04:00;12,9;76
04/09/2018;05:00;12,9;76
04/09/2018;06:00;12,9;74
04/09/2018;07:00;13,0;74
04/09/2018;08:00;13,2;74
04/09/2018;09:00;14,1;71
04/09/2018;10:00;14,8;68
04/09/2018;11:00;16,7;62
04/09/2018;12:00;17,6;59
04/09/2018;13:00;16,8;69
04/09/2018;14:00;14,8;84
04/09/2018;15:00;13,4;91
04/09/2018;16:00;13,1;92
04/09/2018;17:00;13,3;93
04/09/2018;18:00;12,8;92
04/09/2018;19:00;12,7;86
04/09/2018;20:00;12,6;83
04/09/2018;21:00;12,7;81
04/09/2018;22:00;12,5;83
04/09/2018;23:00;12,7;82
04/09/2018;24:00;12,7;81
05/09/2018;01:00;12,6;81
05/09/2018;02:00;12,6;81
05/09/2018;03:00;12,2;81
05/09/2018;04:00;11,8;82
05/09/2018;05:00;11,8;82
05/09/2018;06:00;11,7;81
05/09/2018;07:00;11,8;82
05/09/2018;08:00;12,5;79
05/09/2018;09:00;13,6;71
05/09/2018;10:00;14,5;69
05/09/2018;11:00;14,7;77
05/09/2018;12:00;15,2;77
05/09/2018;13:00;15,5;74
05/09/2018;14:00;14,7;83
05/09/2018;15:00;15,6;77
05/09/2018;16:00;16,0;72
05/09/2018;17:00;14,4;78
05/09/2018;18:00;14,1;76
05/09/2018;19:00;13,3;78
05/09/2018;20:00;13,1;79
05/09/2018;21:00;12,6;82
05/09/2018;22:00;12,2;83
05/09/2018;23:00;12,3;83
05/09/2018;24:00;12,0;83
06/09/2018;01:00;12,0;85
06/09/2018;02:00;11,5;85
06/09/2018;03:00;10,9;87
06/09/2018;04:00;10,4;86
06/09/2018;05:00;10,0;85
06/09/2018;06:00;9,8;85
06/09/2018;07:00;10,0;85
06/09/2018;08:00;11,9;81
06/09/2018;09:00;13,0;78
06/09/2018;10:00;13,3;77
06/09/2018;11:00;15,3;68
06/09/2018;12:00;18,4;57
06/09/2018;13:00;20,4;48
06/09/2018;14:00;22,1;41
06/09/2018;15:00;22,7;46
06/09/2018;16:00;20,6;57
06/09/2018;17:00;18,8;64
06/09/2018;18:00;16,5;73
06/09/2018;19:00;14,8;79
06/09/2018;20:00;14,2;80
06/09/2018;21:00;13,9;81
06/09/2018;22:00;13,8;80
06/09/2018;23:00;13,9;83
06/09/2018;24:00;13,7;83
07/09/2018;01:00;13,3;84
07/09/2018;02:00;13,5;85
07/09/2018;03:00;13,7;86
07/09/2018;04:00;13,8;85
07/09/2018;05:00;13,7;84
07/09/2018;06:00;13,6;85
07/09/2018;07:00;13,7;83
07/09/2018;08:00;14,0;81
07/09/2018;09:00;14,9;77
07/09/2018;10:00;16,9;69
07/09/2018;11:00;19,1;61
07/09/2018;12:00;21,9;52
07/09/2018;13:00;24,3;42
07/09/2018;14:00;26,5;33
07/09/2018;15:00;28,0;28
07/09/2018;16:00;27,5;26
07/09/2018;17:00;26,5;38
07/09/2018;18:00;23,3;54
07/09/2018;19:00;19,2;69
07/09/2018;20:00;17,0;77
07/09/2018;21:00;16,2;81
07/09/2018;22:00;15,6;84
07/09/2018;23:00;15,0;86
07/09/2018;24:00;14,6;87
08/09/2018;01:00;14,3;89
08/09/2018;02:00;13,8;89
08/09/2018;03:00;13,8;90
08/09/2018;04:00;13,7;91
08/09/2018;05:00;13,3;90
08/09/2018;06:00;12,7;91
08/09/2018;07:00;12,9;92
08/09/2018;08:00;14,1;89
08/09/2018;09:00;15,3;82
08/09/2018;10:00;15,5;79
08/09/2018;11:00;18,9;67
08/09/2018;12:00;21,5;56
08/09/2018;13:00;24,6;45
08/09/2018;14:00;26,4;35
08/09/2018;15:00;27,4;35
08/09/2018;16:00;24,2;55
08/09/2018;17:00;21,3;64
08/09/2018;18:00;18,3;76
08/09/2018;19:00;16,8;84
08/09/2018;20:00;16,4;85
08/09/2018;21:00;16,1;84
08/09/2018;22:00;15,9;82
08/09/2018;23:00;15,3;83
08/09/2018;24:00;14,9;83
09/09/2018;01:00;14,4;85
09/09/2018;02:00;14,1;87
09/09/2018;03:00;13,8;87
09/09/2018;04:00;13,4;88
09/09/2018;05:00;13,6;89
09/09/2018;06:00;13,8;89
09/09/2018;07:00;13,9;87
09/09/2018;08:00;14,2;86
09/09/2018;09:00;14,6;84
09/09/2018;10:00;15,4;81
09/09/2018;11:00;18,2;69
09/09/2018;12:00;21,0;58
09/09/2018;13:00;23,0;52
09/09/2018;14:00;24,6;45
09/09/2018;15:00;25,7;44
09/09/2018;16:00;22,4;57
09/09/2018;17:00;20,4;63
09/09/2018;18:00;18,7;70
09/09/2018;19:00;17,0;75
09/09/2018;20:00;16,4;77
09/09/2018;21:00;16,2;77
09/09/2018;22:00;16,1;78
09/09/2018;23:00;15,8;78
09/09/2018;24:00;15,6;79
10/09/2018;01:00;15,1;79
10/09/2018;02:00;14,9;80
10/09/2018;03:00;14,8;79
10/09/2018;04:00;14,2;81
10/09/2018;05:00;13,6;83
10/09/2018;06:00;14,0;84
10/09/2018;07:00;14,3;83
10/09/2018;08:00;15,7;79
10/09/2018;09:00;17,1;72
10/09/2018;10:00;18,1;68
10/09/2018;11:00;19,6;58
10/09/2018;12:00;21,4;51
10/09/2018;13:00;23,4;45
10/09/2018;14:00;24,7;40
10/09/2018;15:00;25,5;38
10/09/2018;16:00;23,6;54
10/09/2018;17:00;20,7;64
10/09/2018;18:00;18,4;71
10/09/2018;19:00;17,3;76
10/09/2018;20:00;16,9;78
10/09/2018;21:00;16,7;78
10/09/2018;22:00;16,5;80
10/09/2018;23:00;16,4;78
10/09/2018;24:00;15,8;77
11/09/2018;01:00;15,6;78
11/09/2018;02:00;15,2;78
11/09/2018;03:00;14,9;82
11/09/2018;04:00;15,0;82
11/09/2018;05:00;15,3;80
11/09/2018;06:00;15,0;80
11/09/2018;07:00;14,9;82
11/09/2018;08:00;15,6;82
11/09/2018;09:00;17,2;75
11/09/2018;10:00;18,8;68
11/09/2018;11:00;20,2;62
11/09/2018;12:00;21,8;54
11/09/2018;13:00;23,0;51
11/09/2018;14:00;23,7;49
11/09/2018;15:00;23,3;50
11/09/2018;16:00;21,7;55
11/09/2018;17:00;20,1;61
11/09/2018;18:00;;
11/09/2018;19:00;18,1;69
11/09/2018;20:00;16,9;75
11/09/2018;21:00;16,5;76
11/09/2018;22:00;16,5;77
11/09/2018;23:00;16,4;80
11/09/2018;24:00;16,6;81
12/09/2018;01:00;16,3;80
12/09/2018;02:00;15,9;82
12/09/2018;03:00;15,9;81
12/09/2018;04:00;15,8;81
12/09/2018;05:00;15,8;81
12/09/2018;06:00;15,6;81
