Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;72
Nome da estação:;Parque D.Pedro II

Data;Hora;Média Horária;Média Horária
;;TEMP(Temperatura do Ar) - °C;UR(Umidade Relativa do Ar) - %
01/10/2016;01:00;13,8;95
01/10/2016;02:00;13,8;92
01/10/2016;03:00;14,1;89
01/10/2016;04:00;14,2;89
01/10/2016;05:00;14,1;88
01/10/2016;06:00;14,3;83
01/10/2016;07:00;14,5;82
01/10/2016;08:00;15,1;81
01/10/2016;09:00;16,3;75
01/10/2016;10:00;17,3;71
01/10/2016;11:00;18,6;66
01/10/2016;12:00;19,7;63
01/10/2016;13:00;18,9;70
01/10/2016;14:00;17,8;75
01/10/2016;15:00;17,7;75
01/10/2016;16:00;16,8;80
01/10/2016;17:00;16,1;85
01/10/2016;18:00;15,9;87
01/10/2016;19:00;16,0;86
01/10/2016;20:00;15,8;89
01/10/2016;21:00;16,0;88
01/10/2016;22:00;16,0;87
01/10/2016;23:00;16,1;85
01/10/2016;24:00;16,3;82
02/10/2016;01:00;16,2;83
02/10/2016;02:00;16,2;84
02/10/2016;03:00;16,0;87
02/10/2016;04:00;16,0;86
02/10/2016;05:00;15,8;87
02/10/2016;06:00;16,1;85
02/10/2016;07:00;16,3;84
02/10/2016;08:00;17,1;79
02/10/2016;09:00;18,7;68
02/10/2016;10:00;19,3;64
02/10/2016;11:00;21,2;57
02/10/2016;12:00;22,7;53
02/10/2016;13:00;23,2;54
02/10/2016;14:00;22,4;61
02/10/2016;15:00;21,8;63
02/10/2016;16:00;20,3;69
02/10/2016;17:00;19,1;74
02/10/2016;18:00;18,2;77
02/10/2016;19:00;17,5;79
02/10/2016;20:00;17,4;80
02/10/2016;21:00;17,2;82
02/10/2016;22:00;17,3;79
02/10/2016;23:00;17,3;77
02/10/2016;24:00;17,1;80
03/10/2016;01:00;17,1;81
03/10/2016;02:00;17,0;82
03/10/2016;03:00;17,0;81
03/10/2016;04:00;16,9;82
03/10/2016;05:00;16,9;82
03/10/2016;06:00;16,8;84
03/10/2016;07:00;16,7;85
03/10/2016;08:00;17,3;81
03/10/2016;09:00;17,8;79
03/10/2016;10:00;17,8;81
03/10/2016;11:00;17,7;85
03/10/2016;12:00;17,6;87
03/10/2016;13:00;17,7;90
03/10/2016;14:00;17,9;90
03/10/2016;15:00;18,3;90
03/10/2016;16:00;18,3;88
03/10/2016;17:00;17,4;94
03/10/2016;18:00;17,1;94
03/10/2016;19:00;16,6;95
03/10/2016;20:00;16,6;95
03/10/2016;21:00;16,6;95
03/10/2016;22:00;16,4;97
03/10/2016;23:00;16,4;96
03/10/2016;24:00;16,6;96
04/10/2016;01:00;16,7;96
04/10/2016;02:00;16,8;95
04/10/2016;03:00;16,9;94
04/10/2016;04:00;17,1;91
04/10/2016;05:00;17,0;91
04/10/2016;06:00;16,7;93
04/10/2016;07:00;16,8;90
04/10/2016;08:00;17,6;87
04/10/2016;09:00;18,2;82
04/10/2016;10:00;19,4;75
04/10/2016;11:00;19,8;72
04/10/2016;12:00;19,4;76
04/10/2016;13:00;19,7;74
04/10/2016;14:00;19,7;74
04/10/2016;15:00;22,1;63
04/10/2016;16:00;21,6;68
04/10/2016;17:00;20,4;75
04/10/2016;18:00;19,1;79
04/10/2016;19:00;18,2;82
04/10/2016;20:00;17,3;92
04/10/2016;21:00;17,2;88
04/10/2016;22:00;16,8;88
04/10/2016;23:00;16,5;90
04/10/2016;24:00;16,6;89
05/10/2016;01:00;16,3;89
05/10/2016;02:00;16,4;87
05/10/2016;03:00;16,0;89
05/10/2016;04:00;15,7;89
05/10/2016;05:00;15,2;90
05/10/2016;06:00;15,4;89
05/10/2016;07:00;15,7;89
05/10/2016;08:00;16,8;82
05/10/2016;09:00;17,9;76
05/10/2016;10:00;19,3;68
05/10/2016;11:00;20,4;64
05/10/2016;12:00;21,0;63
05/10/2016;13:00;21,5;61
05/10/2016;14:00;21,1;61
05/10/2016;15:00;21,1;61
05/10/2016;16:00;20,5;63
05/10/2016;17:00;18,9;72
05/10/2016;18:00;17,5;77
05/10/2016;19:00;17,1;79
05/10/2016;20:00;16,8;82
05/10/2016;21:00;16,2;86
05/10/2016;22:00;16,4;84
05/10/2016;23:00;16,6;81
05/10/2016;24:00;16,4;82
06/10/2016;01:00;16,2;84
06/10/2016;02:00;16,3;83
06/10/2016;03:00;16,3;82
06/10/2016;04:00;16,2;83
06/10/2016;05:00;16,3;83
06/10/2016;06:00;16,3;83
06/10/2016;07:00;16,5;81
06/10/2016;08:00;16,9;81
06/10/2016;09:00;17,6;78
06/10/2016;10:00;19,9;69
06/10/2016;11:00;22,8;58
06/10/2016;12:00;24,2;47
06/10/2016;13:00;24,9;42
06/10/2016;14:00;25,5;39
06/10/2016;15:00;25,6;37
06/10/2016;16:00;23,9;47
06/10/2016;17:00;22,3;58
06/10/2016;18:00;18,8;74
06/10/2016;19:00;17,5;82
06/10/2016;20:00;17,1;81
06/10/2016;21:00;16,8;81
06/10/2016;22:00;16,4;81
06/10/2016;23:00;16,0;81
06/10/2016;24:00;15,5;81
07/10/2016;01:00;15,0;81
07/10/2016;02:00;14,8;79
07/10/2016;03:00;14,6;82
07/10/2016;04:00;14,8;81
07/10/2016;05:00;14,1;90
07/10/2016;06:00;14,3;87
07/10/2016;07:00;14,5;82
07/10/2016;08:00;15,2;77
07/10/2016;09:00;16,2;73
07/10/2016;10:00;16,9;71
07/10/2016;11:00;17,4;68
07/10/2016;12:00;19,3;58
07/10/2016;13:00;20,3;54
07/10/2016;14:00;20,8;54
07/10/2016;15:00;21,9;53
07/10/2016;16:00;20,7;59
07/10/2016;17:00;19,3;65
07/10/2016;18:00;18,2;69
07/10/2016;19:00;16,9;74
07/10/2016;20:00;16,5;75
07/10/2016;21:00;16,1;78
07/10/2016;22:00;16,0;79
07/10/2016;23:00;16,0;77
07/10/2016;24:00;15,5;78
08/10/2016;01:00;15,4;79
08/10/2016;02:00;14,7;85
08/10/2016;03:00;14,3;86
08/10/2016;04:00;14,7;83
08/10/2016;05:00;14,4;84
08/10/2016;06:00;14,2;87
08/10/2016;07:00;14,8;85
08/10/2016;08:00;16,3;76
08/10/2016;09:00;18,3;67
08/10/2016;10:00;20,6;56
08/10/2016;11:00;23,2;45
08/10/2016;12:00;24,7;39
08/10/2016;13:00;25,8;35
08/10/2016;14:00;26,7;33
08/10/2016;15:00;26,6;33
08/10/2016;16:00;26,3;33
08/10/2016;17:00;26,2;33
08/10/2016;18:00;24,4;45
08/10/2016;19:00;22,8;51
08/10/2016;20:00;21,5;46
08/10/2016;21:00;20,7;44
08/10/2016;22:00;20,2;44
08/10/2016;23:00;19,6;47
08/10/2016;24:00;18,8;51
09/10/2016;01:00;18,6;57
09/10/2016;02:00;17,6;60
09/10/2016;03:00;17,4;59
09/10/2016;04:00;17,2;57
09/10/2016;05:00;16,9;58
09/10/2016;06:00;16,7;62
09/10/2016;07:00;16,5;77
09/10/2016;08:00;17,7;75
09/10/2016;09:00;19,3;67
09/10/2016;10:00;20,5;63
09/10/2016;11:00;21,2;61
09/10/2016;12:00;21,6;60
09/10/2016;13:00;22,5;56
09/10/2016;14:00;23,4;53
09/10/2016;15:00;22,7;58
09/10/2016;16:00;20,6;67
09/10/2016;17:00;19,3;73
09/10/2016;18:00;18,5;76
09/10/2016;19:00;17,8;80
09/10/2016;20:00;17,6;80
09/10/2016;21:00;17,5;83
09/10/2016;22:00;17,2;82
09/10/2016;23:00;17,3;82
09/10/2016;24:00;17,0;85
10/10/2016;01:00;16,8;83
10/10/2016;02:00;16,4;84
10/10/2016;03:00;16,2;85
10/10/2016;04:00;16,4;85
10/10/2016;05:00;16,1;85
10/10/2016;06:00;15,6;86
10/10/2016;07:00;16,1;84
10/10/2016;08:00;16,7;81
10/10/2016;09:00;18,0;72
10/10/2016;10:00;18,8;69
10/10/2016;11:00;19,7;66
10/10/2016;12:00;21,5;59
10/10/2016;13:00;21,7;60
10/10/2016;14:00;20,9;65
10/10/2016;15:00;20,5;67
10/10/2016;16:00;19,2;73
10/10/2016;17:00;17,6;82
10/10/2016;18:00;17,0;86
10/10/2016;19:00;17,0;85
10/10/2016;20:00;17,2;80
10/10/2016;21:00;17,2;80
10/10/2016;22:00;16,9;81
10/10/2016;23:00;16,7;83
10/10/2016;24:00;16,5;83
11/10/2016;01:00;16,4;84
11/10/2016;02:00;16,5;83
11/10/2016;03:00;16,6;83
11/10/2016;04:00;16,7;83
11/10/2016;05:00;16,7;83
