Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;72
Nome da estação:;Parque D.Pedro II

Data;Hora;Média Horária;Média Horária;Média Horária
;;DV(Direção do Vento) - °;DVG(Direção do Vento Global) - °;VV(Velocidade do Vento) - m/s
01/09/2018;01:00;777;181;0,0
01/09/2018;02:00;777;73;0,0
01/09/2018;03:00;777;84;0,0
01/09/2018;04:00;777;91;0,0
01/09/2018;05:00;777;100;0,0
01/09/2018;06:00;777;114;0,0
01/09/2018;07:00;93;96;1,0
01/09/2018;08:00;93;92;1,3
01/09/2018;09:00;93;92;1,6
01/09/2018;10:00;95;65;1,3
01/09/2018;11:00;95;71;1,4
01/09/2018;12:00;327;338;2,0
01/09/2018;13:00;75;29;1,8
01/09/2018;14:00;351;21;1,8
01/09/2018;15:00;158;170;1,3
01/09/2018;16:00;218;256;1,0
01/09/2018;17:00;178;176;2,2
01/09/2018;18:00;197;193;2,3
01/09/2018;19:00;184;182;1,5
01/09/2018;20:00;191;176;1,2
01/09/2018;21:00;169;159;1,2
01/09/2018;22:00;189;170;1,2
01/09/2018;23:00;164;157;1,1
01/09/2018;24:00;168;168;0,9
02/09/2018;01:00;95;104;1,1
02/09/2018;02:00;92;95;1,2
02/09/2018;03:00;92;97;1,2
02/09/2018;04:00;101;104;1,2
02/09/2018;05:00;90;61;1,0
02/09/2018;06:00;336;7;0,7
02/09/2018;07:00;76;53;1,0
02/09/2018;08:00;102;92;1,4
02/09/2018;09:00;93;88;1,9
02/09/2018;10:00;85;84;1,3
02/09/2018;11:00;105;114;1,1
02/09/2018;12:00;341;350;1,7
02/09/2018;13:00;319;324;2,8
02/09/2018;14:00;326;333;2,9
02/09/2018;15:00;320;325;2,6
02/09/2018;16:00;332;335;2,5
02/09/2018;17:00;197;222;2,3
02/09/2018;18:00;192;189;2,1
02/09/2018;19:00;157;162;1,6
02/09/2018;20:00;205;184;1,2
02/09/2018;21:00;195;196;1,1
02/09/2018;22:00;165;163;0,9
02/09/2018;23:00;103;118;1,5
02/09/2018;24:00;217;212;0,9
03/09/2018;01:00;222;227;1,4
03/09/2018;02:00;164;182;0,9
03/09/2018;03:00;178;169;0,8
03/09/2018;04:00;156;168;0,9
03/09/2018;05:00;777;127;0,0
03/09/2018;06:00;888;6;1,1
03/09/2018;07:00;346;346;1,4
03/09/2018;08:00;332;349;1,3
