Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;99
Nome da estação:;Pinheiros

Data;Hora;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3
01/09/2018;01:00;56
01/09/2018;02:00;63
01/09/2018;03:00;66
01/09/2018;04:00;65
01/09/2018;05:00;62
01/09/2018;06:00;58
01/09/2018;07:00;59
01/09/2018;08:00;60
01/09/2018;09:00;50
01/09/2018;10:00;27
01/09/2018;11:00;32
01/09/2018;12:00;17
01/09/2018;13:00;17
01/09/2018;14:00;17
01/09/2018;15:00;22
01/09/2018;16:00;30
01/09/2018;17:00;39
01/09/2018;18:00;36
01/09/2018;19:00;4
01/09/2018;20:00;5
01/09/2018;21:00;11
01/09/2018;22:00;19
01/09/2018;23:00;15
01/09/2018;24:00;22
02/09/2018;01:00;33
02/09/2018;02:00;42
02/09/2018;03:00;36
02/09/2018;04:00;37
02/09/2018;05:00;40
02/09/2018;06:00;37
02/09/2018;07:00;37
02/09/2018;08:00;35
02/09/2018;09:00;30
02/09/2018;10:00;27
02/09/2018;11:00;20
02/09/2018;12:00;26
02/09/2018;13:00;31
02/09/2018;14:00;25
02/09/2018;15:00;22
02/09/2018;16:00;28
02/09/2018;17:00;32
02/09/2018;18:00;36
02/09/2018;19:00;10
02/09/2018;20:00;2
02/09/2018;21:00;10
02/09/2018;22:00;12
02/09/2018;23:00;13
02/09/2018;24:00;20
03/09/2018;01:00;20
03/09/2018;02:00;11
03/09/2018;03:00;12
03/09/2018;04:00;11
03/09/2018;05:00;10
03/09/2018;06:00;17
03/09/2018;07:00;14
03/09/2018;08:00;17
03/09/2018;09:00;23
03/09/2018;10:00;22
03/09/2018;11:00;19
03/09/2018;12:00;30
03/09/2018;13:00;36
03/09/2018;14:00;8
03/09/2018;15:00;16
03/09/2018;16:00;8
03/09/2018;17:00;6
03/09/2018;18:00;12
03/09/2018;19:00;7
03/09/2018;20:00;10
03/09/2018;21:00;4
03/09/2018;22:00;1
03/09/2018;23:00;5
03/09/2018;24:00;1
04/09/2018;01:00;6
04/09/2018;02:00;3
04/09/2018;03:00;4
04/09/2018;04:00;6
04/09/2018;05:00;5
04/09/2018;06:00;4
04/09/2018;07:00;6
04/09/2018;08:00;2
04/09/2018;09:00;5
04/09/2018;10:00;4
04/09/2018;11:00;0
