Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;99
Nome da estação:;Pinheiros

Data;Hora;Média Horária;Média Horária
;;TEMP(Temperatura do Ar) - °C;UR(Umidade Relativa do Ar) - %
01/09/2018;01:00;19,2;65
01/09/2018;02:00;18,8;67
01/09/2018;03:00;18,0;71
01/09/2018;04:00;17,2;75
01/09/2018;05:00;16,7;78
01/09/2018;06:00;16,4;80
01/09/2018;07:00;16,5;77
01/09/2018;08:00;17,7;72
01/09/2018;09:00;20,6;58
01/09/2018;10:00;24,3;45
01/09/2018;11:00;28,1;35
01/09/2018;12:00;30,8;27
01/09/2018;13:00;32,2;22
01/09/2018;14:00;33,1;19
01/09/2018;15:00;32,5;20
01/09/2018;16:00;32,2;21
01/09/2018;17:00;25,7;55
01/09/2018;18:00;20,0;77
01/09/2018;19:00;19,0;79
01/09/2018;20:00;19,1;76
01/09/2018;21:00;19,1;76
01/09/2018;22:00;18,7;78
01/09/2018;23:00;18,3;80
01/09/2018;24:00;18,1;81
02/09/2018;01:00;17,9;82
02/09/2018;02:00;17,4;85
02/09/2018;03:00;17,0;87
02/09/2018;04:00;16,7;88
02/09/2018;05:00;16,4;89
02/09/2018;06:00;16,5;87
02/09/2018;07:00;16,6;86
02/09/2018;08:00;18,2;75
02/09/2018;09:00;20,2;65
02/09/2018;10:00;23,0;55
02/09/2018;11:00;26,8;42
02/09/2018;12:00;29,8;32
02/09/2018;13:00;32,0;26
02/09/2018;14:00;32,1;25
02/09/2018;15:00;32,2;24
02/09/2018;16:00;32,5;24
02/09/2018;17:00;27,7;45
02/09/2018;18:00;21,2;74
02/09/2018;19:00;19,6;81
02/09/2018;20:00;19,3;81
02/09/2018;21:00;19,1;81
02/09/2018;22:00;19,1;80
02/09/2018;23:00;19,3;79
02/09/2018;24:00;19,4;78
03/09/2018;01:00;18,2;86
03/09/2018;02:00;18,0;86
03/09/2018;03:00;18,0;83
03/09/2018;04:00;17,5;86
03/09/2018;05:00;17,6;86
03/09/2018;06:00;17,8;85
03/09/2018;07:00;18,2;84
03/09/2018;08:00;19,1;78
03/09/2018;09:00;20,5;71
03/09/2018;10:00;23,6;60
03/09/2018;11:00;26,0;51
03/09/2018;12:00;27,0;47
03/09/2018;13:00;23,6;63
03/09/2018;14:00;22,2;73
03/09/2018;15:00;21,5;73
03/09/2018;16:00;20,8;71
03/09/2018;17:00;20,7;68
03/09/2018;18:00;19,4;69
03/09/2018;19:00;17,9;74
03/09/2018;20:00;16,3;79
03/09/2018;21:00;15,1;76
03/09/2018;22:00;14,7;76
03/09/2018;23:00;14,1;74
03/09/2018;24:00;13,7;75
04/09/2018;01:00;13,5;76
04/09/2018;02:00;13,2;76
04/09/2018;03:00;12,9;78
04/09/2018;04:00;12,9;77
04/09/2018;05:00;12,9;77
04/09/2018;06:00;13,0;75
04/09/2018;07:00;13,1;75
04/09/2018;08:00;13,6;73
04/09/2018;09:00;14,1;72
04/09/2018;10:00;15,6;66
04/09/2018;11:00;17,6;59
04/09/2018;12:00;17,8;60
04/09/2018;13:00;16,2;79
04/09/2018;14:00;15,6;87
04/09/2018;15:00;13,9;89
04/09/2018;16:00;13,5;92
04/09/2018;17:00;13,7;93
04/09/2018;18:00;13,1;91
04/09/2018;19:00;12,9;85
04/09/2018;20:00;12,9;85
04/09/2018;21:00;12,9;83
04/09/2018;22:00;12,7;84
04/09/2018;23:00;12,9;81
04/09/2018;24:00;12,9;81
05/09/2018;01:00;12,8;80
05/09/2018;02:00;12,9;80
05/09/2018;03:00;12,2;84
05/09/2018;04:00;11,8;82
05/09/2018;05:00;11,9;80
05/09/2018;06:00;11,7;81
05/09/2018;07:00;11,6;83
05/09/2018;08:00;12,2;81
05/09/2018;09:00;13,1;75
05/09/2018;10:00;14,5;70
05/09/2018;11:00;15,0;75
05/09/2018;12:00;15,1;78
05/09/2018;13:00;17,2;66
05/09/2018;14:00;16,4;71
05/09/2018;15:00;15,9;76
05/09/2018;16:00;15,3;80
05/09/2018;17:00;14,1;84
05/09/2018;18:00;14,1;79
05/09/2018;19:00;13,6;78
05/09/2018;20:00;13,5;78
05/09/2018;21:00;12,9;80
05/09/2018;22:00;12,6;80
05/09/2018;23:00;12,4;81
05/09/2018;24:00;12,2;82
06/09/2018;01:00;12,0;82
06/09/2018;02:00;11,7;83
06/09/2018;03:00;11,4;85
06/09/2018;04:00;11,1;87
06/09/2018;05:00;11,0;87
06/09/2018;06:00;10,8;87
06/09/2018;07:00;10,9;85
06/09/2018;08:00;11,9;82
06/09/2018;09:00;13,5;76
06/09/2018;10:00;14,4;72
06/09/2018;11:00;17,0;62
06/09/2018;12:00;19,5;53
06/09/2018;13:00;21,5;45
06/09/2018;14:00;23,1;40
06/09/2018;15:00;23,1;46
06/09/2018;16:00;21,8;52
06/09/2018;17:00;19,7;60
06/09/2018;18:00;16,7;72
06/09/2018;19:00;15,1;78
06/09/2018;20:00;14,5;78
06/09/2018;21:00;14,4;78
06/09/2018;22:00;14,2;78
06/09/2018;23:00;14,1;78
06/09/2018;24:00;13,9;81
07/09/2018;01:00;13,6;82
07/09/2018;02:00;13,8;82
07/09/2018;03:00;14,1;83
07/09/2018;04:00;14,2;82
07/09/2018;05:00;14,1;82
07/09/2018;06:00;14,0;82
07/09/2018;07:00;14,0;81
07/09/2018;08:00;14,5;78
07/09/2018;09:00;15,2;75
07/09/2018;10:00;17,6;66
07/09/2018;11:00;20,3;56
07/09/2018;12:00;23,1;47
07/09/2018;13:00;25,5;38
07/09/2018;14:00;26,8;31
07/09/2018;15:00;27,9;27
07/09/2018;16:00;28,6;25
07/09/2018;17:00;27,7;32
07/09/2018;18:00;22,6;58
07/09/2018;19:00;18,6;74
07/09/2018;20:00;16,8;80
07/09/2018;21:00;16,2;82
07/09/2018;22:00;15,7;83
07/09/2018;23:00;15,4;84
07/09/2018;24:00;15,0;85
08/09/2018;01:00;14,5;88
08/09/2018;02:00;14,1;90
08/09/2018;03:00;13,7;92
08/09/2018;04:00;13,8;91
08/09/2018;05:00;13,4;90
08/09/2018;06:00;13,4;88
08/09/2018;07:00;13,5;87
08/09/2018;08:00;14,1;85
08/09/2018;09:00;15,5;80
08/09/2018;10:00;17,4;71
08/09/2018;11:00;19,8;61
08/09/2018;12:00;23,0;51
08/09/2018;13:00;25,4;41
08/09/2018;14:00;27,2;32
08/09/2018;15:00;27,6;37
08/09/2018;16:00;25,6;50
08/09/2018;17:00;22,6;59
08/09/2018;18:00;18,4;75
08/09/2018;19:00;17,1;82
08/09/2018;20:00;16,7;83
08/09/2018;21:00;16,4;81
08/09/2018;22:00;16,0;79
08/09/2018;23:00;15,6;80
08/09/2018;24:00;15,5;80
09/09/2018;01:00;15,1;81
09/09/2018;02:00;14,9;82
09/09/2018;03:00;14,6;85
09/09/2018;04:00;14,3;86
09/09/2018;05:00;14,4;85
09/09/2018;06:00;14,4;84
09/09/2018;07:00;14,7;83
09/09/2018;08:00;15,4;80
09/09/2018;09:00;16,0;77
09/09/2018;10:00;16,9;72
09/09/2018;11:00;19,0;64
09/09/2018;12:00;21,8;55
09/09/2018;13:00;23,8;48
09/09/2018;14:00;25,1;43
09/09/2018;15:00;24,5;50
09/09/2018;16:00;23,2;54
09/09/2018;17:00;21,6;58
09/09/2018;18:00;18,7;69
09/09/2018;19:00;17,4;73
09/09/2018;20:00;17,0;73
09/09/2018;21:00;16,9;74
09/09/2018;22:00;16,5;75
09/09/2018;23:00;16,1;75
09/09/2018;24:00;16,1;75
10/09/2018;01:00;16,0;75
10/09/2018;02:00;15,3;77
10/09/2018;03:00;15,1;77
10/09/2018;04:00;14,8;77
10/09/2018;05:00;14,4;79
10/09/2018;06:00;14,6;80
10/09/2018;07:00;14,9;80
10/09/2018;08:00;15,5;78
10/09/2018;09:00;17,0;72
10/09/2018;10:00;18,6;64
10/09/2018;11:00;20,2;55
10/09/2018;12:00;22,8;47
10/09/2018;13:00;24,6;41
10/09/2018;14:00;25,6;38
10/09/2018;15:00;26,5;37
10/09/2018;16:00;24,7;49
10/09/2018;17:00;21,7;59
10/09/2018;18:00;18,9;69
10/09/2018;19:00;17,8;74
10/09/2018;20:00;17,7;75
10/09/2018;21:00;17,3;77
10/09/2018;22:00;17,1;77
10/09/2018;23:00;16,8;77
10/09/2018;24:00;16,4;74
11/09/2018;01:00;16,1;74
11/09/2018;02:00;15,8;76
11/09/2018;03:00;15,5;79
11/09/2018;04:00;15,6;80
11/09/2018;05:00;15,8;78
11/09/2018;06:00;15,6;78
11/09/2018;07:00;15,7;77
11/09/2018;08:00;16,4;76
11/09/2018;09:00;17,7;72
11/09/2018;10:00;18,8;67
11/09/2018;11:00;20,6;59
11/09/2018;12:00;22,5;51
11/09/2018;13:00;24,0;48
11/09/2018;14:00;24,1;46
11/09/2018;15:00;23,7;47
11/09/2018;16:00;23,0;50
11/09/2018;17:00;20,9;57
11/09/2018;18:00;18,7;65
11/09/2018;19:00;17,8;70
11/09/2018;20:00;17,4;73
11/09/2018;21:00;17,2;72
11/09/2018;22:00;17,0;72
11/09/2018;23:00;17,1;74
11/09/2018;24:00;17,0;78
12/09/2018;01:00;16,8;78
12/09/2018;02:00;16,4;78
12/09/2018;03:00;16,3;78
12/09/2018;04:00;16,3;78
12/09/2018;05:00;16,3;78
12/09/2018;06:00;16,1;77
12/09/2018;07:00;16,1;77
12/09/2018;08:00;16,6;74
12/09/2018;09:00;17,7;69
12/09/2018;10:00;19,9;58
12/09/2018;11:00;21,6;52
12/09/2018;12:00;23,6;46
12/09/2018;13:00;24,6;44
12/09/2018;14:00;24,1;51
12/09/2018;15:00;22,6;58
12/09/2018;16:00;21,0;63
12/09/2018;17:00;19,0;71
12/09/2018;18:00;17,8;76
12/09/2018;19:00;17,3;79
12/09/2018;20:00;17,3;77
12/09/2018;21:00;17,1;75
12/09/2018;22:00;17,1;75
12/09/2018;23:00;17,0;75
12/09/2018;24:00;16,9;76
13/09/2018;01:00;16,9;76
13/09/2018;02:00;17,0;76
13/09/2018;03:00;16,9;76
13/09/2018;04:00;16,8;76
13/09/2018;05:00;16,8;76
13/09/2018;06:00;16,8;76
13/09/2018;07:00;17,0;76
13/09/2018;08:00;17,4;74
13/09/2018;09:00;18,1;72
13/09/2018;10:00;19,0;69
13/09/2018;11:00;21,2;61
13/09/2018;12:00;23,1;54
13/09/2018;13:00;25,2;49
13/09/2018;14:00;26,4;46
13/09/2018;15:00;27,4;43
13/09/2018;16:00;26,3;50
13/09/2018;17:00;23,5;60
13/09/2018;18:00;19,7;75
13/09/2018;19:00;18,3;82
13/09/2018;20:00;17,8;83
13/09/2018;21:00;17,7;82
13/09/2018;22:00;17,7;77
13/09/2018;23:00;17,5;80
13/09/2018;24:00;17,1;83
14/09/2018;01:00;17,2;85
14/09/2018;02:00;17,5;86
14/09/2018;03:00;17,9;82
14/09/2018;04:00;17,9;80
14/09/2018;05:00;17,7;81
14/09/2018;06:00;17,8;81
14/09/2018;07:00;;
14/09/2018;08:00;16,9;93
14/09/2018;09:00;17,4;92
14/09/2018;10:00;17,5;89
14/09/2018;11:00;17,3;92
14/09/2018;12:00;18,2;90
14/09/2018;13:00;18,6;87
14/09/2018;14:00;18,0;93
14/09/2018;15:00;17,4;95
14/09/2018;16:00;17,6;95
14/09/2018;17:00;17,9;94
14/09/2018;18:00;18,1;94
14/09/2018;19:00;18,1;94
14/09/2018;20:00;17,8;95
14/09/2018;21:00;17,7;95
14/09/2018;22:00;17,7;96
14/09/2018;23:00;17,4;95
14/09/2018;24:00;17,3;95
15/09/2018;01:00;17,1;95
15/09/2018;02:00;17,2;95
15/09/2018;03:00;17,2;95
15/09/2018;04:00;17,3;95
15/09/2018;05:00;17,3;95
15/09/2018;06:00;17,1;95
15/09/2018;07:00;17,0;96
15/09/2018;08:00;17,9;92
15/09/2018;09:00;19,1;84
15/09/2018;10:00;19,5;80
15/09/2018;11:00;20,4;75
15/09/2018;12:00;22,4;66
15/09/2018;13:00;21,8;67
15/09/2018;14:00;22,7;64
15/09/2018;15:00;24,1;57
15/09/2018;16:00;23,4;58
15/09/2018;17:00;22,0;66
15/09/2018;18:00;18,5;83
15/09/2018;19:00;17,2;88
15/09/2018;20:00;16,6;90
15/09/2018;21:00;16,4;90
15/09/2018;22:00;16,4;84
15/09/2018;23:00;16,2;83
15/09/2018;24:00;16,3;83
16/09/2018;01:00;16,5;81
16/09/2018;02:00;16,4;82
16/09/2018;03:00;16,2;81
16/09/2018;04:00;16,1;82
16/09/2018;05:00;15,6;84
16/09/2018;06:00;15,6;83
16/09/2018;07:00;15,5;81
16/09/2018;08:00;15,9;80
16/09/2018;09:00;16,7;77
16/09/2018;10:00;17,3;74
16/09/2018;11:00;19,0;68
16/09/2018;12:00;21,7;58
16/09/2018;13:00;23,0;53
16/09/2018;14:00;23,2;52
16/09/2018;15:00;23,0;53
16/09/2018;16:00;22,7;53
16/09/2018;17:00;21,3;58
16/09/2018;18:00;19,4;64
16/09/2018;19:00;17,8;71
16/09/2018;20:00;17,1;75
16/09/2018;21:00;16,6;79
16/09/2018;22:00;16,5;77
16/09/2018;23:00;16,1;78
16/09/2018;24:00;15,8;78
17/09/2018;01:00;15,7;79
17/09/2018;02:00;15,7;80
17/09/2018;03:00;15,6;82
17/09/2018;04:00;15,6;82
17/09/2018;05:00;15,6;83
17/09/2018;06:00;15,5;87
17/09/2018;07:00;15,3;91
