Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;284
Nome da estação:;Pico do Jaraguá

Data;Hora;Média Horária;Média Horária
;;TEMP(Temperatura do Ar) - °C;UR(Umidade Relativa do Ar) - %
01/09/2018;01:00;20,9;44
01/09/2018;02:00;20,8;43
01/09/2018;03:00;20,8;43
01/09/2018;04:00;19,9;48
01/09/2018;05:00;19,7;49
01/09/2018;06:00;19,2;51
01/09/2018;07:00;18,9;53
01/09/2018;08:00;19,6;51
01/09/2018;09:00;20,4;49
01/09/2018;10:00;21,9;48
01/09/2018;11:00;23,9;44
01/09/2018;12:00;26,3;37
01/09/2018;13:00;27,7;31
01/09/2018;14:00;28,3;29
01/09/2018;15:00;28,3;29
01/09/2018;16:00;28,3;28
01/09/2018;17:00;26,5;36
01/09/2018;18:00;19,3;80
01/09/2018;19:00;16,0;95
01/09/2018;20:00;15,5;92
01/09/2018;21:00;15,5;91
01/09/2018;22:00;15,3;94
01/09/2018;23:00;14,9;97
01/09/2018;24:00;14,6;99
02/09/2018;01:00;14,7;97
02/09/2018;02:00;17,3;71
02/09/2018;03:00;19,6;51
02/09/2018;04:00;21,1;42
02/09/2018;05:00;20,7;44
02/09/2018;06:00;20,4;47
02/09/2018;07:00;20,3;48
02/09/2018;08:00;20,7;48
02/09/2018;09:00;20,9;51
02/09/2018;10:00;21,6;53
02/09/2018;11:00;24,6;44
02/09/2018;12:00;26,9;37
02/09/2018;13:00;26,9;36
02/09/2018;14:00;28,2;32
02/09/2018;15:00;27,9;32
02/09/2018;16:00;28,9;31
02/09/2018;17:00;28,3;32
02/09/2018;18:00;22,1;64
02/09/2018;19:00;17,5;90
02/09/2018;20:00;16,2;97
02/09/2018;21:00;15,6;99
02/09/2018;22:00;15,6;100
02/09/2018;23:00;16,0;94
02/09/2018;24:00;16,5;91
03/09/2018;01:00;15,2;100
03/09/2018;02:00;15,1;94
03/09/2018;03:00;14,6;97
03/09/2018;04:00;14,6;97
03/09/2018;05:00;14,8;96
03/09/2018;06:00;14,8;96
03/09/2018;07:00;15,1;94
03/09/2018;08:00;15,3;93
03/09/2018;09:00;17,2;88
03/09/2018;10:00;19,5;79
03/09/2018;11:00;21,6;66
03/09/2018;12:00;22,7;60
03/09/2018;13:00;18,8;83
03/09/2018;14:00;17,6;96
03/09/2018;15:00;16,2;99
03/09/2018;16:00;15,8;97
03/09/2018;17:00;15,8;92
03/09/2018;18:00;14,8;93
03/09/2018;19:00;13,5;97
03/09/2018;20:00;12,0;100
03/09/2018;21:00;10,7;100
03/09/2018;22:00;10,3;99
03/09/2018;23:00;9,8;97
03/09/2018;24:00;9,6;93
04/09/2018;01:00;9,4;95
04/09/2018;02:00;9,3;97
04/09/2018;03:00;9,1;99
04/09/2018;04:00;9,0;99
04/09/2018;05:00;8,9;99
04/09/2018;06:00;8,8;99
04/09/2018;07:00;8,8;98
04/09/2018;08:00;9,2;97
04/09/2018;09:00;9,9;94
04/09/2018;10:00;10,8;89
04/09/2018;11:00;11,7;86
04/09/2018;12:00;13,6;77
04/09/2018;13:00;13,7;80
04/09/2018;14:00;12,2;99
04/09/2018;15:00;12,1;97
04/09/2018;16:00;10,5;100
04/09/2018;17:00;10,3;100
04/09/2018;18:00;10,2;100
04/09/2018;19:00;9,7;100
04/09/2018;20:00;9,3;100
04/09/2018;21:00;9,1;100
04/09/2018;22:00;9,0;100
04/09/2018;23:00;9,0;100
04/09/2018;24:00;8,9;100
05/09/2018;01:00;8,8;100
05/09/2018;02:00;8,8;100
05/09/2018;03:00;8,7;100
05/09/2018;04:00;8,1;100
05/09/2018;05:00;8,0;99
05/09/2018;06:00;8,0;99
05/09/2018;07:00;8,1;99
05/09/2018;08:00;8,4;99
05/09/2018;09:00;9,8;92
05/09/2018;10:00;11,5;82
05/09/2018;11:00;11,9;85
05/09/2018;12:00;11,4;94
05/09/2018;13:00;11,7;94
05/09/2018;14:00;12,0;89
05/09/2018;15:00;11,5;97
05/09/2018;16:00;11,3;97
05/09/2018;17:00;10,7;99
05/09/2018;18:00;10,0;100
05/09/2018;19:00;9,6;100
05/09/2018;20:00;9,7;97
05/09/2018;21:00;9,5;97
05/09/2018;22:00;9,0;100
05/09/2018;23:00;9,0;100
05/09/2018;24:00;8,6;99
06/09/2018;01:00;8,5;99
06/09/2018;02:00;8,3;100
06/09/2018;03:00;7,8;100
06/09/2018;04:00;7,4;100
06/09/2018;05:00;7,4;100
06/09/2018;06:00;7,7;100
06/09/2018;07:00;8,1;100
06/09/2018;08:00;8,4;100
06/09/2018;09:00;8,8;100
06/09/2018;10:00;11,1;91
06/09/2018;11:00;13,9;77
06/09/2018;12:00;16,2;67
06/09/2018;13:00;17,4;61
06/09/2018;14:00;18,8;54
06/09/2018;15:00;19,2;48
06/09/2018;16:00;18,6;59
06/09/2018;17:00;16,5;72
06/09/2018;18:00;13,9;84
06/09/2018;19:00;12,1;95
06/09/2018;20:00;11,1;98
06/09/2018;21:00;10,7;98
06/09/2018;22:00;10,6;99
06/09/2018;23:00;10,4;99
06/09/2018;24:00;10,5;100
07/09/2018;01:00;10,3;100
07/09/2018;02:00;10,2;100
07/09/2018;03:00;10,2;100
07/09/2018;04:00;10,2;100
07/09/2018;05:00;10,2;100
07/09/2018;06:00;10,1;100
07/09/2018;07:00;10,0;100
07/09/2018;08:00;10,4;100
07/09/2018;09:00;13,4;90
07/09/2018;10:00;15,7;76
07/09/2018;11:00;17,7;69
07/09/2018;12:00;20,1;60
07/09/2018;13:00;21,7;54
07/09/2018;14:00;22,8;46
07/09/2018;15:00;24,6;37
07/09/2018;16:00;24,6;35
07/09/2018;17:00;24,3;36
07/09/2018;18:00;21,8;49
07/09/2018;19:00;17,1;80
07/09/2018;20:00;15,2;86
07/09/2018;21:00;14,3;91
07/09/2018;22:00;13,4;95
07/09/2018;23:00;12,9;98
07/09/2018;24:00;12,4;100
08/09/2018;01:00;12,7;94
08/09/2018;02:00;12,5;93
08/09/2018;03:00;13,3;73
08/09/2018;04:00;12,2;93
08/09/2018;05:00;11,3;100
08/09/2018;06:00;10,6;100
08/09/2018;07:00;10,5;100
08/09/2018;08:00;11,1;100
08/09/2018;09:00;12,0;100
08/09/2018;10:00;14,5;87
08/09/2018;11:00;16,8;75
08/09/2018;12:00;19,6;65
08/09/2018;13:00;21,5;56
08/09/2018;14:00;22,6;48
08/09/2018;15:00;23,8;42
08/09/2018;16:00;23,6;45
08/09/2018;17:00;20,6;66
08/09/2018;18:00;16,3;85
08/09/2018;19:00;13,6;99
08/09/2018;20:00;13,2;100
08/09/2018;21:00;12,9;100
08/09/2018;22:00;12,6;100
08/09/2018;23:00;11,8;100
08/09/2018;24:00;11,7;100
09/09/2018;01:00;11,5;100
09/09/2018;02:00;11,3;100
09/09/2018;03:00;11,1;100
09/09/2018;04:00;10,9;100
09/09/2018;05:00;11,0;100
09/09/2018;06:00;11,0;100
09/09/2018;07:00;10,9;100
09/09/2018;08:00;11,0;100
09/09/2018;09:00;11,3;100
09/09/2018;10:00;11,7;100
09/09/2018;11:00;15,3;86
09/09/2018;12:00;18,0;70
09/09/2018;13:00;20,1;61
09/09/2018;14:00;21,2;55
09/09/2018;15:00;22,0;51
09/09/2018;16:00;20,4;64
09/09/2018;17:00;17,8;72
09/09/2018;18:00;15,3;84
09/09/2018;19:00;13,6;92
09/09/2018;20:00;13,0;94
09/09/2018;21:00;12,4;96
09/09/2018;22:00;12,3;95
09/09/2018;23:00;12,3;95
09/09/2018;24:00;11,7;98
10/09/2018;01:00;11,5;98
10/09/2018;02:00;11,4;98
10/09/2018;03:00;11,4;97
10/09/2018;04:00;11,2;97
10/09/2018;05:00;11,2;97
10/09/2018;06:00;11,2;98
10/09/2018;07:00;11,3;97
10/09/2018;08:00;11,8;96
10/09/2018;09:00;13,1;92
10/09/2018;10:00;15,9;78
10/09/2018;11:00;17,6;69
10/09/2018;12:00;19,5;59
10/09/2018;13:00;20,4;55
10/09/2018;14:00;21,3;52
10/09/2018;15:00;22,1;48
10/09/2018;16:00;22,0;48
10/09/2018;17:00;18,7;72
10/09/2018;18:00;15,8;83
10/09/2018;19:00;13,8;94
10/09/2018;20:00;13,8;94
10/09/2018;21:00;13,6;94
10/09/2018;22:00;13,3;95
10/09/2018;23:00;13,2;96
10/09/2018;24:00;12,8;92
11/09/2018;01:00;12,3;93
11/09/2018;02:00;12,0;94
11/09/2018;03:00;12,0;96
11/09/2018;04:00;12,0;97
11/09/2018;05:00;11,9;98
11/09/2018;06:00;11,9;99
11/09/2018;07:00;12,0;99
11/09/2018;08:00;12,3;98
11/09/2018;09:00;14,0;91
11/09/2018;10:00;16,0;80
11/09/2018;11:00;18,0;70
11/09/2018;12:00;19,2;64
11/09/2018;13:00;20,3;59
11/09/2018;14:00;20,8;57
11/09/2018;15:00;20,3;59
11/09/2018;16:00;19,0;64
11/09/2018;17:00;17,4;71
11/09/2018;18:00;15,3;80
