Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;284
Nome da estação:;Pico do Jaraguá

Data;Hora;Média Horária;Média Horária;Média Horária
;;DV(Direção do Vento) - °;DVG(Direção do Vento Global) - °;VV(Velocidade do Vento) - m/s
01/09/2018;01:00;238;229;1,1
01/09/2018;02:00;140;144;1,0
01/09/2018;03:00;130;134;0,9
01/09/2018;04:00;119;116;0,9
01/09/2018;05:00;74;87;1,3
01/09/2018;06:00;110;109;1,8
01/09/2018;07:00;106;111;2,0
01/09/2018;08:00;102;102;2,1
01/09/2018;09:00;85;92;2,4
01/09/2018;10:00;62;74;1,6
01/09/2018;11:00;74;77;2,0
01/09/2018;12:00;72;75;1,8
01/09/2018;13:00;82;77;1,4
01/09/2018;14:00;96;84;1,4
01/09/2018;15:00;185;158;1,1
01/09/2018;16:00;148;130;0,9
01/09/2018;17:00;308;277;0,9
01/09/2018;18:00;165;186;1,4
01/09/2018;19:00;177;188;1,6
01/09/2018;20:00;170;180;1,5
01/09/2018;21:00;173;183;1,5
01/09/2018;22:00;166;180;1,4
01/09/2018;23:00;168;176;1,3
01/09/2018;24:00;155;162;1,4
02/09/2018;01:00;147;148;1,5
02/09/2018;02:00;157;157;1,6
02/09/2018;03:00;174;190;1,6
02/09/2018;04:00;79;81;1,5
02/09/2018;05:00;128;121;1,8
02/09/2018;06:00;76;84;2,1
02/09/2018;07:00;105;101;2,3
02/09/2018;08:00;121;117;1,5
02/09/2018;09:00;112;108;2,0
02/09/2018;10:00;95;104;2,7
02/09/2018;11:00;75;83;1,8
02/09/2018;12:00;277;279;1,7
02/09/2018;13:00;280;295;1,7
02/09/2018;14:00;287;306;1,7
02/09/2018;15:00;292;301;2,0
02/09/2018;16:00;295;322;1,6
02/09/2018;17:00;317;332;1,7
02/09/2018;18:00;195;195;1,2
02/09/2018;19:00;184;188;1,2
02/09/2018;20:00;189;191;1,4
02/09/2018;21:00;174;184;1,5
02/09/2018;22:00;164;168;1,3
02/09/2018;23:00;145;144;1,3
02/09/2018;24:00;888;345;0,9
03/09/2018;01:00;253;264;1,7
03/09/2018;02:00;258;243;1,6
03/09/2018;03:00;159;167;1,3
03/09/2018;04:00;156;170;1,2
03/09/2018;05:00;141;135;0,8
03/09/2018;06:00;317;341;1,2
03/09/2018;07:00;305;312;1,1
03/09/2018;08:00;24;8;1,4
03/09/2018;09:00;50;50;1,7
03/09/2018;10:00;61;59;1,6
03/09/2018;11:00;292;336;1,6
03/09/2018;12:00;286;310;1,8
03/09/2018;13:00;37;7;2,0
03/09/2018;14:00;40;26;1,7
03/09/2018;15:00;40;30;2,3
03/09/2018;16:00;39;17;2,2
03/09/2018;17:00;352;1;2,8
03/09/2018;18:00;35;16;2,3
03/09/2018;19:00;322;333;3,2
03/09/2018;20:00;336;351;3,3
03/09/2018;21:00;8;2;3,0
03/09/2018;22:00;53;35;2,4
03/09/2018;23:00;338;345;3,3
03/09/2018;24:00;39;33;2,2
04/09/2018;01:00;53;40;1,9
04/09/2018;02:00;67;48;1,7
04/09/2018;03:00;58;40;1,8
04/09/2018;04:00;66;44;1,8
04/09/2018;05:00;62;45;1,7
04/09/2018;06:00;60;41;1,6
04/09/2018;07:00;83;61;1,5
04/09/2018;08:00;92;76;1,5
04/09/2018;09:00;55;60;1,4
04/09/2018;10:00;110;104;1,1
04/09/2018;11:00;49;43;1,7
04/09/2018;12:00;43;29;1,7
04/09/2018;13:00;50;36;1,3
04/09/2018;14:00;61;51;1,2
04/09/2018;15:00;260;271;1,2
04/09/2018;16:00;250;263;1,5
04/09/2018;17:00;251;263;1,2
04/09/2018;18:00;260;255;1,3
04/09/2018;19:00;177;215;1,1
04/09/2018;20:00;279;267;1,3
04/09/2018;21:00;164;191;0,8
04/09/2018;22:00;144;157;1,1
04/09/2018;23:00;150;163;1,5
04/09/2018;24:00;152;165;1,3
05/09/2018;01:00;154;167;1,6
05/09/2018;02:00;163;172;1,5
05/09/2018;03:00;225;223;1,2
05/09/2018;04:00;158;173;1,5
05/09/2018;05:00;157;172;1,6
05/09/2018;06:00;149;163;1,6
05/09/2018;07:00;154;170;1,6
05/09/2018;08:00;166;178;1,6
05/09/2018;09:00;157;166;1,5
05/09/2018;10:00;145;163;1,4
05/09/2018;11:00;146;152;1,6
05/09/2018;12:00;144;154;1,5
05/09/2018;13:00;147;160;1,6
05/09/2018;14:00;146;160;1,8
05/09/2018;15:00;142;147;1,6
05/09/2018;16:00;151;159;1,7
